t_cam_ns,t_recv_ns,frame_id,cx,cy,vx,vy,conf,x,y,z,roll,pitch,yaw,gripper,cartesian_v,joint_v
1757819277728491160,1757819277735546464,85,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277762072363,1757819277769446243,86,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277795317283,1757819277802510130,87,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277828514065,1757819277835512371,88,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277862075865,1757819277869800771,89,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277895448101,1757819277902346060,90,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277928771870,1757819277935802836,91,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277962229785,1757819277969591402,92,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819277995557206,1757819278002558643,93,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278028953056,1757819278036037767,94,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278062355392,1757819278069399942,95,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278095651337,1757819278102900925,96,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278129041792,1757819278136041392,97,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278162482789,1757819278169732815,98,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278195865430,1757819278203315463,99,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278229256065,1757819278236391175,100,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278262642398,1757819278270039601,101,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278295993300,1757819278304167959,102,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278329396901,1757819278338272657,103,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819278362693414,1757819278370020006,104,322,247,0.8323791597612664,0.0,0.25444546341896057,nan,nan,nan,nan,nan,nan,nan,nan,nan
