t_cam_ns,frame_id,ball_px_cx,ball_px_cy,ball_px_radius,ball_cam_x,ball_cam_y,ball_cam_z,ball_world_x,ball_world_y,ball_world_z,ball_world_vx,ball_world_vy,ball_world_vz,ee_x,ee_y,ee_z,ee_roll,ee_pitch,ee_yaw,ee_vx,ee_vy,ee_vz,ee_wx,ee_wy,ee_wz,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,gripper_ratio
1758245371791684010,20,684,422,35.0,1.221,-0.05932043055525315,-0.098192430298099,1.1291872433705576,0.06053740783183385,0.06564652325436993,-0.0009310024134279684,0.0032563018783188396,0.0625134856730783,0.31481188539238386,-0.0022835673750071514,0.44680247761349373,0.1177243877230141,0.17926669351595212,-0.006025067662554107,0.0,0.0,0.0,0.0,0.0,0.0,-1.1555844735373884,-1.266099106989738,0.6164754205874707,-2.5021967328626817,0.7476641910965073,1.4522205870213527,-0.10154313329925634,-4.591527712902578e-05,-0.0014608959996022753,-0.00021197216400918183,-0.00028298552576375347,-0.0012219362540883748,-0.0001907754286443506,-0.0029799175060615524,0.0012181922793388367
1758245371893041500,21,684,422,35.0,1.226,-0.05957590183240755,-0.09861530898155334,1.1292619605254695,0.06027607487675994,0.06062953325977216,0.0007371646132102081,-0.002578328992498846,-0.0494979699536538,0.3148115599727667,-0.002283221436207417,0.4468034237780488,0.11772626089682016,0.17927165489276864,-0.006023969942904865,0.0,0.0,0.0,0.0,0.0,0.0,-1.1555807346735643,-1.266101878269035,0.6164788700010043,-2.5021951635781323,0.7476659957531969,1.4522151817107722,-0.10153917668213829,-0.0009513884806941553,-0.0002249231351516127,-0.0006935105016268952,0.0016081423245518163,-0.0007284035133714372,0.001402132610317134,0.0012846737217072084,0.0012181922793388367
1758245371995289837,22,684,422,35.0,1.223,-0.05942261906611492,-0.09836158177148074,1.1292171302325225,0.0604328746498043,0.06363972725653078,-0.0004384452037297751,0.0015335190541471285,0.029440028904906438,0.3148120720899698,-0.0022830888343456568,0.4468024657006841,0.1177339787325445,0.17926747965775516,-0.006021928288907316,0.0,0.0,0.0,0.0,0.0,0.0,-1.15558444644229,-1.266100162501407,0.6164732748551793,-2.5021931673569675,0.7476671841008476,1.4522165424192264,-0.10153766117559838,0.0005601738909765942,-0.0013424604920882505,0.00021459193950196874,-0.0008284308058639414,0.00018249744785555732,0.0005626531608986287,0.001051252960427621,0.0012263879179954529
1758245372008069222,23,684,422,35.0,1.223,-0.05942261906611492,-0.09836158177148074,1.1292171302325225,0.0604328746498043,0.06363972725653078,0.0,0.0,0.0,0.31481213938842667,-0.0022825582850688306,0.4467998211072782,0.1177324441362669,0.17926438669983244,-0.0060296380527124945,0.0,0.0,0.0,0.0,0.0,0.0,-1.1555844460654436,-1.2661035829116958,0.6164768895493883,-2.50219879939492,0.7476637011839448,1.4522191872286123,-0.10153718850452756,0.0009151764153282763,-8.92803666909858e-05,8.985887166225004e-05,-0.0006078793612657648,-0.0002708691416102317,0.00048290994444925156,0.0004229176597182633,0.0012263879179954529
1758245372105468462,24,684,422,35.0,1.227,-0.05962699608783844,-0.09869988471824422,1.1292769039564519,0.06022380828574515,0.05962613526085225,0.0006136980527712702,-0.0021464886590403043,-0.04120763155522079,0.31481193847643896,-0.002281708952939203,0.44680058780315357,0.11772997019463487,0.17926485555691934,-0.006026924045402829,0.0,0.0,0.0,0.0,0.0,0.0,-1.1555827335680988,-1.2661026380367602,0.6164781144213606,-2.5021984287400056,0.7476650591823216,1.452217549768066,-0.10153840365957606,0.0006918076790268988,0.0006003434237942383,0.0010723198814092145,4.427541072615456e-05,2.7834228060678163e-05,0.00022007447438591982,0.0004966002269134452,0.0012263879179954529
1758245372196155440,25,684,422,35.0,1.227,-0.05962699608783844,-0.09869988471824422,1.1292769039564519,0.06022380828574515,0.05962613526085225,0.0,0.0,0.0,0.3148125702420392,-0.00228264602842481,0.4468039631409219,0.1177327254234141,0.17927143396995687,-0.006024417876167901,0.0,0.0,0.0,0.0,0.0,0.0,-1.1555844460574145,-1.2660994475720682,0.6164768370775189,-2.502192720719522,0.7476675119763516,1.4522178636811085,-0.10153917689856266,0.0009674995043812279,-0.000511357266519698,-0.0009552412802806601,0.0006615417551460602,-0.0006290434827695539,0.0008511448639499895,0.000639111573699658,0.0012263879179954529
1758245372296588218,26,684,423,35.0,1.225,-0.05952480757697669,-0.10034319269788866,1.1291592251835016,0.05851899763254829,0.06157310197214705,-0.001171716796982493,-0.01697464400712749,0.01938576976626889,0.31481311621080166,-0.0022816924044226266,0.44680269394554284,0.11773203730793766,0.17926927535088455,-0.006020180441913339,0.0,0.0,0.0,0.0,0.0,0.0,-1.155586158600163,-1.26610555924527,0.6164781430297364,-2.502199418189365,0.7476641784976441,1.4522151686294789,-0.1015383798504305,-0.0007244325694119036,2.5396183247845458e-05,-0.0006324678560647716,0.00015693263052749603,0.0003973807410601513,-6.655529667939987e-05,-0.0006995072784488573,0.0012263879179954529
1758245372395916149,27,684,422,35.0,1.223,-0.05942261906611492,-0.09836158177148074,1.1292171302325225,0.0604328746498043,0.06363972725653078,0.0005829684403756701,0.01926826621663961,0.02080608408508708,0.31481247150772723,-0.0022818674115723508,0.4468033239465454,0.11773241660745916,0.17926845071407546,-0.006023002289966884,0.0,0.0,0.0,0.0,0.0,0.0,-1.1555861585624976,-1.266100059808082,0.6164799328043236,-2.502192886466165,0.7476641794680069,1.4522151294547365,-0.10153579155779173,0.0007892371045203311,-0.0002219387036376947,0.00020823012399504823,-0.0004814677742295203,0.0003420538345247223,-0.00018998062628045596,0.0015798260874942298,0.0012263879179954529
1758245372491804367,28,684,422,35.0,1.232,-0.059882467364992836,-0.09912276340169855,1.129351621111364,0.059962475330671235,0.05460914526625471,0.0014025798126880529,-0.004905705090202673,-0.09417822312931153,0.3148125575226399,-0.0022817775389045794,0.44680248363950115,0.11772790757404375,0.17926621170898766,-0.006023885882591861,0.0,0.0,0.0,0.0,0.0,0.0,-1.1555888992400423,-1.2661053424119122,0.6164752862067511,-2.502196954843801,0.7476641786584851,1.4522175111143978,-0.10154049337850218,-0.0004999756462090567,-0.0003529284221454636,0.00012352213513643724,-0.000550337453396068,0.0009153878091887199,-0.00020944327869679624,0.0007289852025564756,0.0012263879179954529
1758245372594574419,29,684,422,35.0,1.221,-0.05932043055525315,-0.098192430298099,1.1291872433705576,0.06053740783183385,0.06564652325436993,-0.0015994712234478875,0.005594358375556904,0.10739877788633614,0.3148113802220718,-0.002282248161121018,0.44680298763369514,0.1177298596949477,0.1792722968591443,-0.006019774094803781,0.0,0.0,0.0,0.0,0.0,0.0,-1.1555844462285885,-1.266100132691364,0.616477226329512,-2.5021966736224583,0.7476664111841319,1.4522160084756561,-0.10153143737452132,0.00014875487509482098,-0.00014255203962356729,0.0009663391968167558,-0.0006541455465463625,0.0001421041134910563,-0.000545890455084415,-0.0010112080174133587,0.0012263879179954529
